n,tempo_ms
4760010,0.003911
4770010,0.002863
4780010,0.003771
4790010,0.002375
4800010,0.002794
4810010,0.003422
4820010,0.002444
4830010,0.002374
4840010,0.002864
4850010,0.002794
4860010,0.002794
4870010,0.001885
4880010,0.003282
4890010,0.002374
4900010,0.002863
4910010,0.002864
4920010,0.001886
4930010,0.002444
4940010,0.002863
4950010,0.002933
4960010,0.002934
4970010,0.002444
4980010,0.002794
4990010,0.002375
5000010,0.003283
5010010,0.002933
5020010,0.002305
5030010,0.001885
5040010,0.002863
5050010,0.003352
5060010,0.001815
5070010,0.002444
5080010,0.003772
5090010,0.001467
5100010,0.003353
5110010,0.004679
5120010,0.002304
5130010,0.002794
5140010,0.003353
5150010,0.002375
5160010,0.003422
5170010,0.001886
5180010,0.002374
5190010,0.002793
5200010,0.002305
5210010,0.003353
5220010,0.002863
5230010,0.003842
5240010,0.002374
5250010,0.002374
5260010,0.001886
5270010,0.001886
5280010,0.002444
5290010,0.002444
5300010,0.002375
5310010,0.004260
5320010,0.002374
5330010,0.003353
5340010,0.002794
5350010,0.002864
5360010,0.002444
5370010,0.002375
5380010,0.004330
5390010,0.003352
5400010,0.003283
5410010,0.002864
5420010,0.002305
5430010,0.005308
5440010,0.003771
5450010,0.002934
5460010,0.003283
5470010,0.002864
5480010,0.007193
5490010,0.002794
5500010,0.003771
5510010,0.002374
5520010,0.002375
5530010,0.003282
5540010,0.003352
5550010,0.003422
5560010,0.002863
5570010,0.001956
5580010,0.003353
5590010,0.002793
5600010,0.002444
5610010,0.002933
5620010,0.002934
5630010,0.002863
5640010,0.002374
5650010,0.002374
5660010,0.004191
5670010,0.004400
5680010,0.003352
5690010,0.004679
5700010,0.002793
5710010,0.001955
5720010,0.002375
5730010,0.001886
5740010,0.003841
5750010,0.002794
5760010,0.003282
5770010,0.002864
5780010,0.002863
5790010,0.002304
5800010,0.002794
5810010,0.001886
5820010,0.002934
5830010,0.005657
5840010,0.003352
5850010,0.004330
5860010,0.003283
5870010,0.002863
5880010,0.002375
5890010,0.003352
5900010,0.001816
5910010,0.002864
5920010,0.002375
5930010,0.002864
5940010,0.001886
5950010,0.002445
5960010,0.002374
5970010,0.002863
5980010,0.001886
5990010,0.002863
6000010,0.002863
6010010,0.002445
6020010,0.002794
6030010,0.001886
6040010,0.002933
6050010,0.002863
6060010,0.002863
6070010,0.002375
6080010,0.002864
6090010,0.002863
6100010,0.002374
6110010,0.002444
6120010,0.002375
6130010,0.002933
6140010,0.002375
6150010,0.002864
6160010,0.002444
6170010,0.003282
6180010,0.002863
6190010,0.002864
6200010,0.002445
6210010,0.002375
6220010,0.002933
6230010,0.002794
6240010,0.002933
6250010,0.002864
6260010,0.002864
6270010,0.002933
6280010,0.003702
6290010,0.003283
6300010,0.002863
6310010,0.002374
6320010,0.003212
6330010,0.002793
6340010,0.002374
6350010,0.002864
6360010,0.002863
6370010,0.003283
6380010,0.002863
6390010,0.001956
6400010,0.002863
6410010,0.004261
6420010,0.002863
6430010,0.002934
6440010,0.002444
6450010,0.002375
6460010,0.002864
6470010,0.002863
6480010,0.002863
6490010,0.003352
6500010,0.001886
6510010,0.002374
6520010,0.001955
6530010,0.002863
6540010,0.003842
6550010,0.002864
6560010,0.002934
6570010,0.003422
6580010,0.003353
6590010,0.002933
6600010,0.002444
6610010,0.002863
6620010,0.002793
6630010,0.002864
6640010,0.002304
6650010,0.003283
6660010,0.002933
6670010,0.002864
6680010,0.002793
6690010,0.002863
6700010,0.003283
6710010,0.003352
6720010,0.003352
6730010,0.002375
6740010,0.003213
6750010,0.002305
6760010,0.002933
6770010,0.002934
6780010,0.002374
6790010,0.002933
6800010,0.002864
6810010,0.002934
6820010,0.001955
6830010,0.002794
6840010,0.002864
6850010,0.002864
6860010,0.002304
6870010,0.002445
6880010,0.003352
6890010,0.003282
6900010,0.001885
6910010,0.003352
6920010,0.003841
6930010,0.002864
6940010,0.002374
6950010,0.003283
6960010,0.002793
6970010,0.002375
6980010,0.002374
6990010,0.003422
7000010,0.002864
7010010,0.002445
7020010,0.002933
7030010,0.003842
7040010,0.003772
7050010,0.002444
7060010,0.002375
7070010,0.003352
7080010,0.001886
7090010,0.002794
7100010,0.003353
7110010,0.003352
7120010,0.002864
7130010,0.003771
7140010,0.003771
7150010,0.003352
7160010,0.004260
7170010,0.003352
7180010,0.002933
7190010,0.002863
7200010,0.292844
7210010,0.002794
7220010,0.001885
7230010,0.004749
7240010,0.003283
7250010,0.002794
7260010,0.003771
7270010,0.002793
7280010,0.001955
7290010,0.002445
7300010,0.002933
7310010,0.002375
7320010,0.002933
7330010,0.002864
7340010,0.002375
7350010,0.002375
7360010,0.003353
7370010,0.002794
7380010,0.003771
7390010,0.003282
7400010,0.002863
7410010,0.002864
7420010,0.002863
7430010,0.003283
7440010,0.002863
7450010,0.002794
7460010,0.002445
