n,tempo_ms
6230010,14.840491
6240010,15.053158
6250010,14.762129
6260010,14.753469
6270010,14.524459
6280010,14.901951
6290010,14.584173
6300010,15.269177
6310010,14.795932
6320010,14.610503
6330010,14.670917
6340010,14.794116
6350010,14.867729
6360010,14.811786
6370010,14.779240
6380010,14.754447
6390010,15.205970
6400010,14.775818
6410010,14.833576
6420010,14.906561
6430010,15.209532
6440010,21.001255
6450010,16.376020
6460010,14.998053
6470010,14.878904
6480010,14.911310
6490010,14.917526
6500010,14.958313
6510010,14.953355
6520010,14.964529
6530010,16.449703
6540010,15.093037
6550010,15.054414
6560010,15.102186
6570010,15.134103
6580010,15.113780
6590010,15.176847
6600010,15.190117
6610010,15.199755
6620010,16.144147
6630010,15.263030
6640010,15.347120
6650010,15.975830
6660010,15.505240
6670010,15.361646
6680010,15.507125
6690010,15.512573
6700010,15.471367
6710010,15.440777
6720010,15.556363
6730010,15.499512
6740010,15.535411
6750010,15.632979
6760010,15.552033
6770010,15.681169
6780010,15.687665
6790010,15.628370
6800010,15.687874
6810010,15.768542
6820010,15.641919
6830010,15.674884
6840010,15.750382
6850010,15.705823
6860010,15.741163
6870010,15.827138
6880010,15.831957
6890010,16.442649
6900010,15.889995
6910010,15.936649
6920010,15.882941
6930010,16.155741
6940010,16.617950
6950010,16.587220
6960010,16.063550
6970010,16.658039
6980010,16.113417
6990010,16.702597
7000010,18.161371
7010010,16.827404
7020010,17.203638
7030010,17.517645
7040010,16.678572
7050010,16.588407
7060010,16.812598
7070010,16.756306
7080010,16.473030
7090010,16.909258
7100010,17.158312
7110010,16.388242
7120010,17.571352
7130010,17.043912
7140010,16.878248
7150010,16.451240
7160010,16.455499
7170010,16.481410
7180010,16.555512
7190010,16.925041
7200010,16.573461
7210010,17.305327
7220010,16.597906
7230010,16.746947
7240010,16.857924
7250010,19.708215
7260010,16.753582
7270010,16.822934
7280010,16.793601
7290010,18.591942
7300010,18.730647
7310010,16.809944
7320010,16.833480
7330010,16.873918
7340010,17.649715
7350010,17.009410
7360010,17.243169
7370010,16.950534
7380010,16.945994
7390010,17.135054
7400010,17.002146
7410010,17.016744
7420010,17.011785
7430010,17.137499
7440010,17.064165
7450010,17.134426
7460010,17.179474
7470010,17.203150
7480010,17.537619
7490010,17.265588
7500010,17.290242
7510010,17.250363
7520010,17.335499
7530010,17.378102
7540010,17.431321
7550010,17.515200
7560010,17.504165
7570010,17.369302
7580010,17.473714
7590010,17.462470
7600010,17.482165
7610010,17.446966
7620010,17.777384
7630010,17.651600
7640010,17.662635
7650010,17.663822
7660010,17.597613
7670010,17.661168
7680010,17.987467
7690010,17.741415
7700010,17.702305
7710010,17.707892
7720010,17.789327
7730010,17.814121
7740010,17.795892
7750010,17.867689
7760010,17.960996
7770010,17.905682
7780010,17.869715
7790010,17.703841
7800010,17.916718
7810010,18.038241
7820010,18.021200
7830010,18.029651
7840010,18.124006
7850010,18.084477
7860010,18.056051
7870010,18.160673
7880010,18.102774
7890010,18.258310
7900010,18.183161
7910010,18.155505
7920010,18.174780
7930010,18.212705
7940010,18.449047
7950010,18.296165
7960010,18.305803
7970010,18.348336
7980010,18.336044
7990010,18.313137
8000010,18.441504
8010010,18.426139
8020010,18.477333
8030010,18.403860
8040010,18.492768
8050010,18.518609
8060010,18.503244
8070010,18.624977
8080010,18.558070
8090010,18.546266
8100010,18.605212
8110010,18.567219
8120010,18.946876
8130010,18.653263
8140010,18.739447
8150010,18.800349
8160010,18.674775
8170010,18.914539
8180010,18.860552
8190010,18.834990
8200010,18.880316
8210010,18.832196
8220010,18.979770
8230010,18.958399
8240010,18.956025
8250010,19.038019
8260010,19.059949
8270010,19.005123
8280010,19.095707
8290010,19.123434
8300010,19.149136
8310010,19.080133
8320010,19.158704
8330010,19.180075
8340010,19.271916
8350010,19.193695
8360010,19.196069
8370010,19.174558
8380010,19.256901
8390010,19.281205
8400010,19.373047
8410010,19.352513
8420010,19.538361
8430010,19.493243
8440010,19.647802
8450010,19.462723
8460010,19.473338
8470010,19.451129
8480010,19.624755
8490010,19.588507
8500010,19.540316
8510010,19.548767
8520010,19.598983
8530010,19.582221
8540010,19.640050
8550010,19.737618
8560010,19.741948
8570010,19.680068
8580010,19.799078
8590010,19.820589
8600010,19.829669
8610010,19.796773
8620010,19.794608
8630010,19.835466
8640010,19.932754
8650010,19.893434
8660010,19.858862
8670010,19.964811
8680010,19.984017
8690010,20.015795
8700010,20.072437
8710010,20.007205
8720010,20.055815
8730010,20.077256
8740010,20.063078
8750010,20.091922
8760010,20.103586
8770010,20.186347
8780010,20.187745
8790010,20.260519
8800010,20.168328
8810010,20.207160
8820010,20.314576
8830010,20.300608
8840010,20.446088
8850010,20.372684
8860010,20.452652
8870010,20.377852
8880010,20.484919
8890010,20.730341
8900010,24.213671
8910010,20.551547
8920010,20.649954
8930010,20.607560
8940010,20.577318
8950010,20.607630
8960010,20.590099
8970010,22.199800
8980010,20.651490
8990010,20.677750
9000010,20.706037
9010010,20.799623
9020010,20.783420
9030010,20.780137
9040010,20.883014
9050010,20.906620
9060010,20.842646
9070010,20.872748
9080010,20.940214
9090010,20.946988
9100010,21.026468
9110010,20.972480
9120010,21.041624
9130010,20.994271
9140010,21.039667
9150010,21.045953
9160010,21.055591
9170010,21.120963
9180010,21.132207
9190010,21.153788
9200010,21.194436
9210010,21.259388
9220010,21.211128
9230010,21.227401
9240010,21.338169
9250010,21.080944
9260010,21.348576
9270010,21.329928
9280010,21.516473
9290010,21.536518
9300010,21.966391
9310010,21.242207
9320010,21.374766
9330010,21.520525
9340010,21.332652
9350010,21.677807
9360010,21.578563
9370010,21.593928
9380010,21.573254
9390010,22.551451
9400010,21.604962
9410010,21.736334
9420010,21.637788
9430010,21.732423
9440010,21.755819
9450010,21.670684
9460010,21.740734
9470010,21.734029
9480010,21.773560
9490010,21.795908
9500010,21.846264
9510010,21.798772
9520010,21.901718
9530010,21.927839
9540010,21.916943
9550010,21.921204
9560010,21.996423
9570010,22.010251
9580010,22.026664
9590010,22.021496
9600010,22.035883
9610010,22.077229
9620010,22.141693
9630010,22.100346
9640010,22.132473
9650010,22.133032
9660010,22.169420
9670010,22.206994
9680010,28.584266
9690010,24.959786
9700010,22.257908
9710010,22.330823
9720010,22.323350
9730010,22.404226
9740010,22.435794
9750010,22.454720
9760010,22.373426
9770010,22.439425
9780010,22.443686
9790010,22.521349
9800010,22.535317
9810010,22.554663
9820010,22.619756
9830010,22.613190
9840010,22.376010
9850010,22.664524
9860010,22.699095
9870010,22.697070
9880010,22.732619
9890010,22.747076
9900010,22.736111
9910010,22.779693
9920010,22.775851
9930010,22.824670
9940010,22.877610
9950010,22.889902
9960010,22.912880
9970010,22.906105
9980010,22.946613
9990010,22.946194
